decade,tornado_count,total_deaths,total_injuries,occ_county_tot,FIPS
"1960","1","0","0","287","01001"
"1970","3","0","6","287","01001"
"1980","4","0","12","287","01001"
"1990","1","0","0","287","01001"
"2000","12","0","51","287","01001"
"2010","14","3","6","287","01001"
"2020","6","7","16","287","01001"
"1950","1","0","0","872","01003"
"1960","7","0","4","872","01003"
"1970","16","0","0","872","01003"
"1980","21","0","72","872","01003"
"1990","17","0","1","872","01003"
"2000","24","0","4","872","01003"
"2010","9","0","3","872","01003"
"2020","14","0","0","872","01003"
"1950","2","0","4","216","01005"
"1960","1","0","2","216","01005"
"1980","2","0","1","216","01005"
"2000","12","0","1","216","01005"
"2010","11","0","3","216","01005"
"2020","8","0","0","216","01005"
"1950","1","0","0","162","01007"
"1960","2","0","4","162","01007"
"1980","6","0","0","162","01007"
"2000","3","0","0","162","01007"
"2010","11","0","0","162","01007"
"2020","4","0","5","162","01007"
"1950","4","3","14","350","01009"
"1970","7","0","26","350","01009"
"1980","3","0","0","350","01009"
"1990","4","0","7","350","01009"
"2000","11","0","25","350","01009"
"2010","12","0","35","350","01009"
"2020","9","0","3","350","01009"
"1960","1","0","0","114","01011"
"1980","1","0","0","114","01011"
"1990","2","0","0","114","01011"
"2000","7","0","0","114","01011"
"2010","7","0","0","114","01011"
"2020","1","0","0","114","01011"
"1950","1","0","0","200","01013"
"1960","6","2","14","200","01013"
"1970","2","0","12","200","01013"
"1980","1","0","0","200","01013"
"1990","3","0","0","200","01013"
"2000","6","0","3","200","01013"
"2010","5","0","0","200","01013"
"2020","1","0","0","200","01013"
"1950","1","0","26","216","01015"
"1960","5","0","4","216","01015"
"1970","3","0","0","216","01015"
"1980","2","2","51","216","01015"
"1990","1","0","0","216","01015"
"2000","9","1","14","216","01015"
"2010","4","0","4","216","01015"
"2020","2","6","10","216","01015"
"1970","5","2","14","126","01017"
"1980","2","0","0","126","01017"
"1990","2","0","0","126","01017"
"2000","2","0","0","126","01017"
"2010","5","0","0","126","01017"
"2020","5","0","0","126","01017"
"1960","2","0","3","84","01019"
"1970","1","0","9","84","01019"
"1980","1","0","0","84","01019"
"1990","3","0","5","84","01019"
"2000","5","3","8","84","01019"
"2010","2","0","0","84","01019"
"1950","5","0","2","256","01021"
"1960","3","1","28","256","01021"
"1970","3","0","0","256","01021"
"1980","3","0","4","256","01021"
"1990","2","0","0","256","01021"
"2000","3","0","0","256","01021"
"2010","8","0","1","256","01021"
"2020","5","0","0","256","01021"
"1950","2","2","3","140","01023"
"1960","2","0","2","140","01023"
"2000","5","0","0","140","01023"
"2010","12","0","7","140","01023"
"2020","7","0","2","140","01023"
"1950","3","0","1","312","01025"
"1960","2","0","0","312","01025"
"1970","3","0","2","312","01025"
"1980","5","0","0","312","01025"
"1990","7","0","16","312","01025"
"2000","5","0","0","312","01025"
"2010","8","0","0","312","01025"
"2020","6","0","0","312","01025"
"1950","2","7","12","154","01027"
"1970","1","0","0","154","01027"
"1980","9","0","5","154","01027"
"1990","1","0","5","154","01027"
"2000","6","0","0","154","01027"
"2010","2","0","0","154","01027"
"2020","1","0","0","154","01027"
"1950","1","0","0","112","01029"
"1960","2","0","8","112","01029"
"1970","3","0","1","112","01029"
"1980","4","0","0","112","01029"
"1990","2","0","0","112","01029"
"2000","3","0","0","112","01029"
"2010","1","0","0","112","01029"
"1950","5","0","6","304","01031"
"1960","2","0","0","304","01031"
"1970","8","4","113","304","01031"
"1980","4","0","11","304","01031"
"1990","6","0","1","304","01031"
"2000","7","9","52","304","01031"
"2010","4","0","0","304","01031"
"2020","2","0","0","304","01031"
"1950","4","2","17","344","01033"
"1960","6","0","25","344","01033"
"1970","1","0","0","344","01033"
"1980","1","0","2","344","01033"
"1990","4","0","2","344","01033"
"2000","11","0","0","344","01033"
"2010","13","0","1","344","01033"
"2020","3","0","0","344","01033"
"1950","5","0","2","208","01035"
"1960","1","0","0","208","01035"
"1970","4","0","0","208","01035"
"1980","2","0","4","208","01035"
"1990","1","0","0","208","01035"
"2000","9","1","0","208","01035"
"2010","1","0","0","208","01035"
"2020","3","0","0","208","01035"
"1960","1","0","0","78","01037"
"1970","1","0","0","78","01037"
"1990","1","0","2","78","01037"
"2000","5","0","0","78","01037"
"2010","4","0","0","78","01037"
"2020","1","0","0","78","01037"
"1950","1","0","2","368","01039"
"1960","2","0","0","368","01039"
"1970","5","0","4","368","01039"
"1980","6","0","1","368","01039"
"1990","13","0","10","368","01039"
"2000","11","2","1","368","01039"
"2010","3","0","2","368","01039"
"2020","5","0","0","368","01039"
"1950","1","0","0","196","01041"
"1960","2","0","2","196","01041"
"1970","1","0","0","196","01041"
"1990","7","0","28","196","01041"
"2000","4","0","0","196","01041"
"2010","9","0","0","196","01041"
"2020","4","0","0","196","01041"
"1950","7","0","11","656","01043"
"1960","7","2","15","656","01043"
"1970","5","0","21","656","01043"
"1980","16","0","65","656","01043"
"1990","7","6","130","656","01043"
"2000","15","0","0","656","01043"
"2010","15","7","48","656","01043"
"2020","10","0","0","656","01043"
"1960","1","0","0","224","01045"
"1970","3","0","14","224","01045"
"1980","4","0","14","224","01045"
"1990","6","0","4","224","01045"
"2000","12","0","36","224","01045"
"2010","4","0","0","224","01045"
"2020","2","0","0","224","01045"
"1950","6","0","4","273","01047"
"1970","6","0","1","273","01047"
"1980","5","1","19","273","01047"
"1990","4","4","40","273","01047"
"2000","6","0","1","273","01047"
"2010","7","0","0","273","01047"
"2020","5","0","4","273","01047"
"1950","2","0","12","408","01049"
"1960","3","0","1","408","01049"
"1970","4","0","23","408","01049"
"1980","1","0","3","408","01049"
"1990","9","0","49","408","01049"
"2000","8","0","13","408","01049"
"2010","18","25","16","408","01049"
"2020","6","0","0","408","01049"
"1970","3","0","17","258","01051"
"1980","2","0","0","258","01051"
"1990","8","0","0","258","01051"
"2000","9","0","0","258","01051"
"2010","11","7","36","258","01051"
"2020","10","2","2","258","01051"
"1950","1","0","0","232","01053"
"1960","3","0","1","232","01053"
"1970","6","0","3","232","01053"
"1980","2","0","1","232","01053"
"1990","4","0","0","232","01053"
"2000","7","0","0","232","01053"
"2010","5","0","0","232","01053"
"2020","1","0","20","232","01053"
"1950","1","0","0","208","01055"
"1960","1","0","10","208","01055"
"1970","5","0","4","208","01055"
"1980","5","0","2","208","01055"
"1990","4","0","12","208","01055"
"2000","2","0","14","208","01055"
"2010","4","0","0","208","01055"
"2020","4","0","2","208","01055"
"1950","5","0","2","344","01057"
"1960","2","0","1","344","01057"
"1970","2","0","0","344","01057"
